Date,Team 1,FT,Team 2,Season
Feb 8 1964,Eintracht Frankfurt,2-2,MSV Duisburg,1963-64
Feb 8 1964,Preußen Münster,0-1,1. FC Nürnberg,1963-64
Feb 15 1964,1. FC Köln,3-1,Hertha BSC,1963-64
Feb 15 1964,1. FC Nürnberg,2-0,1. FC Saarbrücken,1963-64
Feb 15 1964,Borussia Dortmund,3-2,Karlsruher SC,1963-64
Feb 15 1964,Hamburger SV,3-1,FC Schalke 04,1963-64
Feb 15 1964,VfB Stuttgart,0-3,Preußen Münster,1963-64
Feb 15 1964,1. FC Kaiserslautern,2-1,TSV 1860 Munich,1963-64
Feb 15 1964,Eintracht Braunschweig,0-3,Eintracht Frankfurt,1963-64
Feb 15 1964,MSV Duisburg,1-0,Werder Bremen,1963-64
Feb 22 1964,1. FC Saarbrücken,0-1,VfB Stuttgart,1963-64
Feb 22 1964,Werder Bremen,1-1,1. FC Köln,1963-64
Feb 22 1964,Preußen Münster,1-0,1. FC Kaiserslautern,1963-64
Feb 22 1964,Hertha BSC,1-2,Hamburger SV,1963-64
Feb 22 1964,Karlsruher SC,1-3,1. FC Nürnberg,1963-64
Feb 22 1964,FC Schalke 04,2-0,Eintracht Braunschweig,1963-64
Feb 22 1964,Eintracht Frankfurt,2-1,Borussia Dortmund,1963-64
Feb 29 1964,1. FC Köln,1-1,Eintracht Frankfurt,1963-64
Feb 29 1964,VfB Stuttgart,4-1,Karlsruher SC,1963-64
Feb 29 1964,1. FC Nürnberg,2-2,TSV 1860 Munich,1963-64
Feb 29 1964,Borussia Dortmund,0-0,Preußen Münster,1963-64
Feb 29 1964,MSV Duisburg,3-0,FC Schalke 04,1963-64
Feb 29 1964,1. FC Kaiserslautern,2-4,1. FC Saarbrücken,1963-64
Mar 7 1964,TSV 1860 Munich,9-2,Hamburger SV,1963-64
Mar 7 1964,Karlsruher SC,5-1,1. FC Kaiserslautern,1963-64
Mar 7 1964,FC Schalke 04,4-1,1. FC Nürnberg,1963-64
Mar 7 1964,Preußen Münster,0-2,1. FC Köln,1963-64
Mar 7 1964,Hertha BSC,0-0,Borussia Dortmund,1963-64
Mar 7 1964,1. FC Saarbrücken,0-2,MSV Duisburg,1963-64
Mar 7 1964,Eintracht Frankfurt,3-2,VfB Stuttgart,1963-64
Mar 7 1964,Werder Bremen,2-3,Eintracht Braunschweig,1963-64
Mar 14 1964,Eintracht Frankfurt,4-0,Hertha BSC,1963-64
Mar 14 1964,Borussia Dortmund,7-1,VfB Stuttgart,1963-64
Mar 14 1964,Werder Bremen,1-0,FC Schalke 04,1963-64
Mar 14 1964,MSV Duisburg,2-2,1. FC Köln,1963-64
Mar 14 1964,1. FC Kaiserslautern,3-1,1. FC Nürnberg,1963-64
Mar 14 1964,TSV 1860 Munich,3-1,Preußen Münster,1963-64
Mar 14 1964,Karlsruher SC,2-2,1. FC Saarbrücken,1963-64
Mar 14 1964,Eintracht Braunschweig,2-1,Hamburger SV,1963-64
Mar 21 1964,1. FC Saarbrücken,1-2,TSV 1860 Munich,1963-64
Mar 21 1964,VfB Stuttgart,4-0,1. FC Kaiserslautern,1963-64
Mar 21 1964,Hamburger SV,3-3,MSV Duisburg,1963-64
Mar 21 1964,Preußen Münster,0-0,Karlsruher SC,1963-64
Mar 21 1964,1. FC Köln,4-1,Eintracht Braunschweig,1963-64
Mar 21 1964,FC Schalke 04,1-2,Eintracht Frankfurt,1963-64
Mar 21 1964,1. FC Nürnberg,4-0,Borussia Dortmund,1963-64
Mar 26 1964,Hamburger SV,1-1,Werder Bremen,1963-64
Mar 26 1964,TSV 1860 Munich,1-1,VfB Stuttgart,1963-64
Mar 27 1964,Hertha BSC,5-2,MSV Duisburg,1963-64
Mar 30 1964,Eintracht Braunschweig,1-1,Hertha BSC,1963-64
Mar 30 1964,1. FC Saarbrücken,2-1,Borussia Dortmund,1963-64
Mar 30 1964,Eintracht Frankfurt,2-2,Hamburger SV,1963-64
Mar 31 1964,TSV 1860 Munich,0-0,MSV Duisburg,1963-64
Apr 4 1964,Hamburger SV,1-1,1. FC Köln,1963-64
Apr 4 1964,MSV Duisburg,5-1,Eintracht Braunschweig,1963-64
Apr 4 1964,Hertha BSC,1-0,FC Schalke 04,1963-64
Apr 4 1964,Eintracht Frankfurt,7-0,Werder Bremen,1963-64
Apr 4 1964,Preußen Münster,2-1,1. FC Saarbrücken,1963-64
