Date,Team 1,FT,Team 2,Season
Apr 10 1993,VfL Bochum,2-2,Karlsruher SC,1992-93
Apr 10 1993,Eintracht Frankfurt,3-0,Werder Bremen,1992-93
Apr 16 1993,1. FC Nürnberg,0-0,1. FC Kaiserslautern,1992-93
Apr 16 1993,Borussia Dortmund,6-0,SG Wattenscheid 09,1992-93
Apr 16 1993,Werder Bremen,3-0,Dynamo Dresden,1992-93
Apr 16 1993,VfL Bochum,1-2,Hamburger SV,1992-93
Apr 17 1993,VfB Stuttgart,2-2,Eintracht Frankfurt,1992-93
Apr 17 1993,Bayer 04 Leverkusen,1-0,KFC Uerdingen,1992-93
Apr 17 1993,Karlsruher SC,0-0,FC Schalke 04,1992-93
Apr 17 1993,Bor. Mönchengladbach,2-2,Bayern Munich,1992-93
Apr 17 1993,1. FC Saarbrücken,0-3,1. FC Köln,1992-93
Apr 23 1993,SG Wattenscheid 09,3-1,Bor. Mönchengladbach,1992-93
Apr 23 1993,Bayern Munich,6-0,1. FC Saarbrücken,1992-93
Apr 23 1993,1. FC Köln,0-0,Werder Bremen,1992-93
Apr 24 1993,Dynamo Dresden,0-0,VfB Stuttgart,1992-93
Apr 24 1993,Hamburger SV,1-2,Borussia Dortmund,1992-93
Apr 24 1993,FC Schalke 04,0-3,VfL Bochum,1992-93
Apr 24 1993,KFC Uerdingen,1-1,Karlsruher SC,1992-93
Apr 24 1993,1. FC Kaiserslautern,4-0,Bayer 04 Leverkusen,1992-93
Apr 24 1993,Eintracht Frankfurt,0-0,1. FC Nürnberg,1992-93
Apr 26 1993,Werder Bremen,4-1,Bayern Munich,1992-93
Apr 27 1993,Bor. Mönchengladbach,0-3,Borussia Dortmund,1992-93
Apr 27 1993,1. FC Saarbrücken,0-1,SG Wattenscheid 09,1992-93
Apr 27 1993,VfB Stuttgart,2-0,1. FC Köln,1992-93
Apr 27 1993,Karlsruher SC,1-1,1. FC Kaiserslautern,1992-93
Apr 27 1993,VfL Bochum,4-1,KFC Uerdingen,1992-93
Apr 27 1993,Bayer 04 Leverkusen,1-1,Eintracht Frankfurt,1992-93
Apr 28 1993,1. FC Nürnberg,0-0,Dynamo Dresden,1992-93
Apr 28 1993,FC Schalke 04,0-0,Hamburger SV,1992-93
Apr 30 1993,Bayern Munich,5-3,VfB Stuttgart,1992-93
Apr 30 1993,Borussia Dortmund,3-0,1. FC Saarbrücken,1992-93
Apr 30 1993,Eintracht Frankfurt,4-1,Karlsruher SC,1992-93
May 1 1993,Hamburger SV,0-2,Bor. Mönchengladbach,1992-93
May 1 1993,KFC Uerdingen,4-2,FC Schalke 04,1992-93
May 1 1993,1. FC Kaiserslautern,3-1,VfL Bochum,1992-93
May 1 1993,Dynamo Dresden,2-0,Bayer 04 Leverkusen,1992-93
May 1 1993,1. FC Köln,2-0,1. FC Nürnberg,1992-93
May 1 1993,SG Wattenscheid 09,2-2,Werder Bremen,1992-93
May 7 1993,FC Schalke 04,4-0,1. FC Kaiserslautern,1992-93
May 7 1993,Karlsruher SC,3-1,Dynamo Dresden,1992-93
May 7 1993,KFC Uerdingen,0-2,Hamburger SV,1992-93
May 8 1993,VfL Bochum,1-0,Eintracht Frankfurt,1992-93
May 8 1993,1. FC Saarbrücken,0-4,Bor. Mönchengladbach,1992-93
May 8 1993,VfB Stuttgart,4-1,SG Wattenscheid 09,1992-93
May 8 1993,1. FC Nürnberg,0-0,Bayern Munich,1992-93
May 8 1993,Bayer 04 Leverkusen,3-0,1. FC Köln,1992-93
May 9 1993,Werder Bremen,1-0,Borussia Dortmund,1992-93
May 14 1993,Borussia Dortmund,0-4,VfB Stuttgart,1992-93
May 14 1993,1. FC Kaiserslautern,2-1,KFC Uerdingen,1992-93
May 14 1993,Bor. Mönchengladbach,3-1,Werder Bremen,1992-93
May 15 1993,Hamburger SV,2-0,1. FC Saarbrücken,1992-93
May 15 1993,Eintracht Frankfurt,0-3,FC Schalke 04,1992-93
May 15 1993,Dynamo Dresden,0-0,VfL Bochum,1992-93
May 15 1993,1. FC Köln,2-0,Karlsruher SC,1992-93
May 15 1993,Bayern Munich,4-1,Bayer 04 Leverkusen,1992-93
May 15 1993,SG Wattenscheid 09,4-1,1. FC Nürnberg,1992-93
May 21 1993,Hamburger SV,2-2,1. FC Kaiserslautern,1992-93
May 21 1993,FC Schalke 04,2-0,Dynamo Dresden,1992-93
May 21 1993,1. FC Saarbrücken,0-4,Werder Bremen,1992-93
May 22 1993,KFC Uerdingen,2-0,Eintracht Frankfurt,1992-93
May 22 1993,VfB Stuttgart,3-2,Bor. Mönchengladbach,1992-93
May 22 1993,1. FC Nürnberg,1-2,Borussia Dortmund,1992-93
May 22 1993,Bayer 04 Leverkusen,3-1,SG Wattenscheid 09,1992-93
May 22 1993,VfL Bochum,0-0,1. FC Köln,1992-93
May 23 1993,Karlsruher SC,4-2,Bayern Munich,1992-93
May 29 1993,1. FC Saarbrücken,1-4,VfB Stuttgart,1992-93
May 29 1993,Eintracht Frankfurt,3-0,1. FC Kaiserslautern,1992-93
May 29 1993,Dynamo Dresden,1-1,KFC Uerdingen,1992-93
May 29 1993,1. FC Köln,2-1,FC Schalke 04,1992-93
May 29 1993,Bayern Munich,3-1,VfL Bochum,1992-93
May 29 1993,SG Wattenscheid 09,0-2,Karlsruher SC,1992-93
May 29 1993,Borussia Dortmund,1-2,Bayer 04 Leverkusen,1992-93
May 29 1993,Bor. Mönchengladbach,2-1,1. FC Nürnberg,1992-93
May 29 1993,Werder Bremen,5-0,Hamburger SV,1992-93
Jun 5 1993,Hamburger SV,1-2,Eintracht Frankfurt,1992-93
Jun 5 1993,1. FC Nürnberg,4-1,1. FC Saarbrücken,1992-93
Jun 5 1993,Bayer 04 Leverkusen,4-0,Bor. Mönchengladbach,1992-93
Jun 5 1993,Karlsruher SC,3-0,Borussia Dortmund,1992-93
Jun 5 1993,VfL Bochum,3-1,SG Wattenscheid 09,1992-93
Jun 5 1993,FC Schalke 04,3-3,Bayern Munich,1992-93
Jun 5 1993,KFC Uerdingen,0-0,1. FC Köln,1992-93
Jun 5 1993,1. FC Kaiserslautern,2-0,Dynamo Dresden,1992-93
Jun 5 1993,VfB Stuttgart,0-3,Werder Bremen,1992-93
Aug 7 1993,Bayern Munich,3-1,SC Freiburg,1993-94
Aug 7 1993,Borussia Dortmund,2-1,Karlsruher SC,1993-94
Aug 7 1993,MSV Duisburg,2-2,Bayer 04 Leverkusen,1993-94
Aug 7 1993,1. FC Köln,0-2,1. FC Kaiserslautern,1993-94
Aug 7 1993,Hamburger SV,5-2,1. FC Nürnberg,1993-94
Aug 7 1993,VfB Leipzig (-2004),3-3,Dynamo Dresden,1993-94
Aug 7 1993,Bor. Mönchengladbach,0-4,Eintracht Frankfurt,1993-94
Aug 7 1993,SG Wattenscheid 09,3-0,FC Schalke 04,1993-94
Aug 7 1993,Werder Bremen,5-1,VfB Stuttgart,1993-94
Aug 14 1993,Dynamo Dresden,0-1,MSV Duisburg,1993-94
Aug 14 1993,Eintracht Frankfurt,2-2,Werder Bremen,1993-94
Aug 14 1993,SC Freiburg,4-1,SG Wattenscheid 09,1993-94
Aug 14 1993,1. FC Kaiserslautern,4-2,Bor. Mönchengladbach,1993-94
Aug 14 1993,VfB Stuttgart,0-0,VfB Leipzig (-2004),1993-94
Aug 14 1993,Bayer 04 Leverkusen,2-1,Bayern Munich,1993-94
Aug 14 1993,1. FC Nürnberg,1-0,1. FC Köln,1993-94
Aug 14 1993,FC Schalke 04,1-0,Borussia Dortmund,1993-94
Aug 14 1993,Karlsruher SC,2-0,Hamburger SV,1993-94
Aug 21 1993,Bayern Munich,5-0,Dynamo Dresden,1993-94
Aug 21 1993,Borussia Dortmund,3-2,SC Freiburg,1993-94
Aug 21 1993,MSV Duisburg,2-2,VfB Stuttgart,1993-94
Aug 21 1993,Eintracht Frankfurt,1-0,1. FC Kaiserslautern,1993-94
Aug 21 1993,Werder Bremen,3-1,VfB Leipzig (-2004),1993-94
Aug 21 1993,Hamburger SV,4-1,FC Schalke 04,1993-94
Aug 21 1993,Bor. Mönchengladbach,2-0,1. FC Nürnberg,1993-94
Aug 21 1993,SG Wattenscheid 09,1-2,Bayer 04 Leverkusen,1993-94
Aug 21 1993,1. FC Köln,2-1,Karlsruher SC,1993-94
Aug 28 1993,Dynamo Dresden,1-1,SG Wattenscheid 09,1993-94
Aug 28 1993,SC Freiburg,0-1,Hamburger SV,1993-94
Aug 28 1993,1. FC Kaiserslautern,2-3,Werder Bremen,1993-94
Aug 28 1993,Karlsruher SC,1-0,Bor. Mönchengladbach,1993-94
Aug 28 1993,VfB Leipzig (-2004),1-1,MSV Duisburg,1993-94
Aug 28 1993,Bayer 04 Leverkusen,2-1,Borussia Dortmund,1993-94
Aug 28 1993,1. FC Nürnberg,1-5,Eintracht Frankfurt,1993-94
Aug 28 1993,FC Schalke 04,1-2,1. FC Köln,1993-94
Aug 28 1993,VfB Stuttgart,2-2,Bayern Munich,1993-94
Sep 1 1993,Bayern Munich,3-0,VfB Leipzig (-2004),1993-94
Sep 1 1993,Borussia Dortmund,4-0,Dynamo Dresden,1993-94
Sep 1 1993,Eintracht Frankfurt,3-1,Karlsruher SC,1993-94
Sep 1 1993,1. FC Köln,2-0,SC Freiburg,1993-94
Sep 1 1993,Werder Bremen,1-5,MSV Duisburg,1993-94
Sep 1 1993,1. FC Kaiserslautern,3-1,1. FC Nürnberg,1993-94
Sep 1 1993,Bor. Mönchengladbach,3-2,FC Schalke 04,1993-94
Sep 1 1993,SG Wattenscheid 09,2-4,VfB Stuttgart,1993-94
Sep 1 1993,Hamburger SV,2-1,Bayer 04 Leverkusen,1993-94
Sep 4 1993,Dynamo Dresden,1-1,Hamburger SV,1993-94
Sep 4 1993,MSV Duisburg,2-2,Bayern Munich,1993-94
Sep 4 1993,SC Freiburg,3-3,Bor. Mönchengladbach,1993-94
Sep 4 1993,Karlsruher SC,1-1,1. FC Kaiserslautern,1993-94
Sep 4 1993,VfB Leipzig (-2004),0-0,SG Wattenscheid 09,1993-94
Sep 4 1993,Bayer 04 Leverkusen,2-1,1. FC Köln,1993-94
Sep 4 1993,1. FC Nürnberg,0-1,Werder Bremen,1993-94
Sep 4 1993,FC Schalke 04,1-3,Eintracht Frankfurt,1993-94
Sep 4 1993,VfB Stuttgart,2-2,Borussia Dortmund,1993-94
Sep 8 1993,Borussia Dortmund,0-1,VfB Leipzig (-2004),1993-94
Sep 8 1993,Eintracht Frankfurt,3-0,SC Freiburg,1993-94
Sep 8 1993,1. FC Köln,0-1,Dynamo Dresden,1993-94
Sep 8 1993,Hamburger SV,3-2,VfB Stuttgart,1993-94
Sep 8 1993,1. FC Kaiserslautern,0-0,FC Schalke 04,1993-94
Sep 8 1993,Bor. Mönchengladbach,2-2,Bayer 04 Leverkusen,1993-94
Sep 8 1993,1. FC Nürnberg,1-1,Karlsruher SC,1993-94
Sep 8 1993,SG Wattenscheid 09,0-2,MSV Duisburg,1993-94
Sep 8 1993,Werder Bremen,1-0,Bayern Munich,1993-94
Sep 18 1993,Bayern Munich,3-3,SG Wattenscheid 09,1993-94
Sep 18 1993,Dynamo Dresden,2-1,Bor. Mönchengladbach,1993-94
Sep 18 1993,MSV Duisburg,2-2,Borussia Dortmund,1993-94
Sep 18 1993,SC Freiburg,2-3,1. FC Kaiserslautern,1993-94
Sep 18 1993,Karlsruher SC,0-3,Werder Bremen,1993-94
Sep 18 1993,VfB Leipzig (-2004),1-4,Hamburger SV,1993-94
Sep 18 1993,Bayer 04 Leverkusen,2-2,Eintracht Frankfurt,1993-94
Sep 18 1993,FC Schalke 04,1-2,1. FC Nürnberg,1993-94
Sep 18 1993,VfB Stuttgart,1-1,1. FC Köln,1993-94
Sep 25 1993,Borussia Dortmund,1-1,Bayern Munich,1993-94
Sep 25 1993,Eintracht Frankfurt,3-2,Dynamo Dresden,1993-94
Sep 25 1993,1. FC Köln,3-1,VfB Leipzig (-2004),1993-94
Sep 25 1993,Hamburger SV,0-1,MSV Duisburg,1993-94
Sep 25 1993,1. FC Kaiserslautern,3-2,Bayer 04 Leverkusen,1993-94
Sep 25 1993,Karlsruher SC,0-0,FC Schalke 04,1993-94
Sep 25 1993,Bor. Mönchengladbach,0-2,VfB Stuttgart,1993-94
Sep 25 1993,1. FC Nürnberg,2-2,SC Freiburg,1993-94
Sep 25 1993,Werder Bremen,0-0,SG Wattenscheid 09,1993-94
Oct 2 1993,Bayern Munich,4-0,Hamburger SV,1993-94
Oct 2 1993,Dynamo Dresden,3-1,1. FC Kaiserslautern,1993-94
Oct 2 1993,MSV Duisburg,0-0,1. FC Köln,1993-94
Oct 2 1993,SC Freiburg,3-3,Karlsruher SC,1993-94
Oct 2 1993,VfB Leipzig (-2004),1-1,Bor. Mönchengladbach,1993-94
Oct 2 1993,Bayer 04 Leverkusen,4-0,1. FC Nürnberg,1993-94
Oct 2 1993,FC Schalke 04,1-1,Werder Bremen,1993-94
Oct 2 1993,VfB Stuttgart,0-2,Eintracht Frankfurt,1993-94
Oct 2 1993,SG Wattenscheid 09,1-2,Borussia Dortmund,1993-94
Oct 9 1993,Eintracht Frankfurt,2-1,VfB Leipzig (-2004),1993-94
Oct 9 1993,1. FC Köln,0-4,Bayern Munich,1993-94
Oct 9 1993,Hamburger SV,2-1,SG Wattenscheid 09,1993-94
Oct 9 1993,1. FC Kaiserslautern,5-0,VfB Stuttgart,1993-94
Oct 9 1993,Werder Bremen,4-0,Borussia Dortmund,1993-94
Oct 9 1993,Bor. Mönchengladbach,4-1,MSV Duisburg,1993-94
Oct 9 1993,1. FC Nürnberg,3-0,Dynamo Dresden,1993-94
Oct 9 1993,FC Schalke 04,1-3,SC Freiburg,1993-94
Oct 9 1993,Karlsruher SC,2-0,Bayer 04 Leverkusen,1993-94
Oct 16 1993,Bayern Munich,3-1,Bor. Mönchengladbach,1993-94
Oct 16 1993,Borussia Dortmund,2-1,Hamburger SV,1993-94
Oct 16 1993,Dynamo Dresden,1-1,Karlsruher SC,1993-94
Oct 16 1993,MSV Duisburg,1-0,Eintracht Frankfurt,1993-94
Oct 16 1993,SG Wattenscheid 09,2-2,1. FC Köln,1993-94
Oct 16 1993,VfB Leipzig (-2004),0-0,1. FC Kaiserslautern,1993-94
Oct 16 1993,Bayer 04 Leverkusen,5-1,FC Schalke 04,1993-94
Oct 16 1993,VfB Stuttgart,1-0,1. FC Nürnberg,1993-94
Oct 16 1993,SC Freiburg,0-0,Werder Bremen,1993-94
Oct 23 1993,Eintracht Frankfurt,2-2,Bayern Munich,1993-94
Oct 23 1993,1. FC Köln,2-0,Borussia Dortmund,1993-94
Oct 23 1993,SC Freiburg,1-0,Bayer 04 Leverkusen,1993-94
Oct 23 1993,1. FC Kaiserslautern,2-0,MSV Duisburg,1993-94
Oct 23 1993,Karlsruher SC,0-0,VfB Stuttgart,1993-94
Oct 23 1993,Bor. Mönchengladbach,3-3,SG Wattenscheid 09,1993-94
Oct 23 1993,1. FC Nürnberg,5-0,VfB Leipzig (-2004),1993-94
Oct 23 1993,FC Schalke 04,0-0,Dynamo Dresden,1993-94
Oct 23 1993,Werder Bremen,0-2,Hamburger SV,1993-94
Oct 30 1993,Bayern Munich,4-0,1. FC Kaiserslautern,1993-94
Oct 30 1993,Borussia Dortmund,3-0,Bor. Mönchengladbach,1993-94
Oct 30 1993,Dynamo Dresden,1-2,SC Freiburg,1993-94
Oct 30 1993,MSV Duisburg,1-0,1. FC Nürnberg,1993-94
Oct 30 1993,SG Wattenscheid 09,0-0,Eintracht Frankfurt,1993-94
Oct 30 1993,VfB Leipzig (-2004),1-0,Karlsruher SC,1993-94
Oct 30 1993,Bayer 04 Leverkusen,2-2,Werder Bremen,1993-94
Oct 30 1993,VfB Stuttgart,3-0,FC Schalke 04,1993-94
Oct 30 1993,Hamburger SV,2-4,1. FC Köln,1993-94
Nov 6 1993,Dynamo Dresden,1-1,Bayer 04 Leverkusen,1993-94
Nov 6 1993,Eintracht Frankfurt,2-0,Borussia Dortmund,1993-94
Nov 6 1993,1. FC Köln,2-0,Werder Bremen,1993-94
Nov 6 1993,SC Freiburg,2-1,VfB Stuttgart,1993-94
Nov 6 1993,1. FC Kaiserslautern,4-1,SG Wattenscheid 09,1993-94
Nov 6 1993,Karlsruher SC,5-0,MSV Duisburg,1993-94
Nov 6 1993,Bor. Mönchengladbach,2-2,Hamburger SV,1993-94
Nov 6 1993,1. FC Nürnberg,2-0,Bayern Munich,1993-94
Nov 6 1993,FC Schalke 04,3-1,VfB Leipzig (-2004),1993-94
Nov 13 1993,Bayern Munich,1-0,Karlsruher SC,1993-94
Nov 13 1993,Borussia Dortmund,2-1,1. FC Kaiserslautern,1993-94
Nov 13 1993,MSV Duisburg,1-0,FC Schalke 04,1993-94
Nov 13 1993,1. FC Köln,0-4,Bor. Mönchengladbach,1993-94
Nov 13 1993,Hamburger SV,3-0,Eintracht Frankfurt,1993-94
Nov 13 1993,VfB Leipzig (-2004),2-2,SC Freiburg,1993-94
Nov 13 1993,VfB Stuttgart,1-4,Bayer 04 Leverkusen,1993-94
Nov 13 1993,SG Wattenscheid 09,2-1,1. FC Nürnberg,1993-94
Nov 13 1993,Werder Bremen,0-1,Dynamo Dresden,1993-94
Nov 20 1993,Dynamo Dresden,1-0,VfB Stuttgart,1993-94
Nov 20 1993,Eintracht Frankfurt,0-3,1. FC Köln,1993-94
Nov 20 1993,SC Freiburg,1-2,MSV Duisburg,1993-94
Nov 20 1993,1. FC Kaiserslautern,3-0,Hamburger SV,1993-94
Nov 20 1993,Karlsruher SC,2-0,SG Wattenscheid 09,1993-94
Nov 20 1993,Bayer 04 Leverkusen,3-1,VfB Leipzig (-2004),1993-94
Nov 20 1993,Bor. Mönchengladbach,3-2,Werder Bremen,1993-94
Nov 20 1993,1. FC Nürnberg,0-0,Borussia Dortmund,1993-94
Nov 20 1993,FC Schalke 04,1-1,Bayern Munich,1993-94
Nov 27 1993,VfB Stuttgart,0-0,Werder Bremen,1993-94
Nov 27 1993,Eintracht Frankfurt,0-3,Bor. Mönchengladbach,1993-94
Nov 27 1993,SC Freiburg,3-1,Bayern Munich,1993-94
Nov 27 1993,1. FC Kaiserslautern,3-0,1. FC Köln,1993-94
Nov 27 1993,Karlsruher SC,3-3,Borussia Dortmund,1993-94
Nov 27 1993,Bayer 04 Leverkusen,2-1,MSV Duisburg,1993-94
Nov 27 1993,1. FC Nürnberg,0-1,Hamburger SV,1993-94
Nov 27 1993,FC Schalke 04,4-1,SG Wattenscheid 09,1993-94
Nov 27 1993,Dynamo Dresden,1-0,VfB Leipzig (-2004),1993-94
Dec 4 1993,Bayern Munich,1-1,Bayer 04 Leverkusen,1993-94
Dec 4 1993,Borussia Dortmund,1-1,FC Schalke 04,1993-94
Dec 4 1993,MSV Duisburg,1-1,Dynamo Dresden,1993-94
Dec 4 1993,1. FC Köln,0-1,1. FC Nürnberg,1993-94
Dec 4 1993,Hamburger SV,1-1,Karlsruher SC,1993-94
Dec 4 1993,VfB Leipzig (-2004),0-0,VfB Stuttgart,1993-94
Dec 4 1993,Bor. Mönchengladbach,3-1,1. FC Kaiserslautern,1993-94
Dec 4 1993,SG Wattenscheid 09,3-1,SC Freiburg,1993-94
Dec 4 1993,Werder Bremen,1-0,Eintracht Frankfurt,1993-94
Dec 11 1993,Dynamo Dresden,1-1,Bayern Munich,1993-94
Dec 11 1993,SC Freiburg,4-1,Borussia Dortmund,1993-94
Dec 11 1993,1. FC Kaiserslautern,1-1,Eintracht Frankfurt,1993-94
Dec 11 1993,Karlsruher SC,2-0,1. FC Köln,1993-94
Dec 11 1993,VfB Stuttgart,4-0,MSV Duisburg,1993-94
Dec 11 1993,Bayer 04 Leverkusen,1-1,SG Wattenscheid 09,1993-94
Dec 11 1993,1. FC Nürnberg,2-4,Bor. Mönchengladbach,1993-94
Dec 11 1993,FC Schalke 04,1-0,Hamburger SV,1993-94
Dec 11 1993,VfB Leipzig (-2004),1-1,Werder Bremen,1993-94
Feb 12 1994,Bayern Munich,1-3,VfB Stuttgart,1993-94
Feb 12 1994,Borussia Dortmund,1-0,Bayer 04 Leverkusen,1993-94
Feb 12 1994,MSV Duisburg,2-1,VfB Leipzig (-2004),1993-94
Feb 12 1994,Eintracht Frankfurt,1-1,1. FC Nürnberg,1993-94
Feb 12 1994,Werder Bremen,2-0,1. FC Kaiserslautern,1993-94
Feb 12 1994,Hamburger SV,1-1,SC Freiburg,1993-94
Feb 12 1994,Bor. Mönchengladbach,1-2,Karlsruher SC,1993-94
Feb 12 1994,SG Wattenscheid 09,1-1,Dynamo Dresden,1993-94
Feb 12 1994,1. FC Köln,1-1,FC Schalke 04,1993-94
Feb 19 1994,Dynamo Dresden,3-0,Borussia Dortmund,1993-94
Feb 19 1994,MSV Duisburg,1-0,Werder Bremen,1993-94
Feb 19 1994,SC Freiburg,2-4,1. FC Köln,1993-94
Feb 19 1994,Karlsruher SC,1-0,Eintracht Frankfurt,1993-94
Feb 19 1994,VfB Leipzig (-2004),1-3,Bayern Munich,1993-94
Feb 19 1994,Bayer 04 Leverkusen,1-2,Hamburger SV,1993-94
Feb 19 1994,1. FC Nürnberg,0-2,1. FC Kaiserslautern,1993-94
Feb 19 1994,FC Schalke 04,2-1,Bor. Mönchengladbach,1993-94
Feb 19 1994,VfB Stuttgart,3-0,SG Wattenscheid 09,1993-94
Feb 26 1994,Bayern Munich,4-0,MSV Duisburg,1993-94
Feb 26 1994,Borussia Dortmund,1-2,VfB Stuttgart,1993-94
Feb 26 1994,Eintracht Frankfurt,1-3,FC Schalke 04,1993-94
Feb 26 1994,1. FC Köln,1-1,Bayer 04 Leverkusen,1993-94
Feb 26 1994,Werder Bremen,2-2,1. FC Nürnberg,1993-94
Feb 26 1994,1. FC Kaiserslautern,0-0,Karlsruher SC,1993-94
Feb 26 1994,Bor. Mönchengladbach,1-1,SC Freiburg,1993-94
Feb 26 1994,SG Wattenscheid 09,2-2,VfB Leipzig (-2004),1993-94
Feb 26 1994,Hamburger SV,1-1,Dynamo Dresden,1993-94
Mar 5 1994,Bayern Munich,2-0,Werder Bremen,1993-94
Mar 5 1994,Dynamo Dresden,1-1,1. FC Köln,1993-94
Mar 5 1994,MSV Duisburg,2-1,SG Wattenscheid 09,1993-94
Mar 5 1994,SC Freiburg,1-3,Eintracht Frankfurt,1993-94
Mar 5 1994,Karlsruher SC,3-2,1. FC Nürnberg,1993-94
Mar 5 1994,VfB Leipzig (-2004),2-3,Borussia Dortmund,1993-94
Mar 5 1994,Bayer 04 Leverkusen,0-1,Bor. Mönchengladbach,1993-94
Mar 5 1994,FC Schalke 04,2-0,1. FC Kaiserslautern,1993-94
Mar 5 1994,VfB Stuttgart,4-0,Hamburger SV,1993-94
Mar 12 1994,Borussia Dortmund,2-1,MSV Duisburg,1993-94
Mar 12 1994,Eintracht Frankfurt,2-0,Bayer 04 Leverkusen,1993-94
Mar 12 1994,1. FC Köln,3-1,VfB Stuttgart,1993-94
Mar 12 1994,Hamburger SV,3-0,VfB Leipzig (-2004),1993-94
Mar 12 1994,1. FC Kaiserslautern,1-0,SC Freiburg,1993-94
Mar 12 1994,Bor. Mönchengladbach,2-1,Dynamo Dresden,1993-94
Mar 12 1994,1. FC Nürnberg,1-0,FC Schalke 04,1993-94
Mar 12 1994,SG Wattenscheid 09,1-3,Bayern Munich,1993-94
Mar 12 1994,Werder Bremen,0-2,Karlsruher SC,1993-94
Mar 19 1994,Bayern Munich,0-0,Borussia Dortmund,1993-94
Mar 19 1994,Dynamo Dresden,0-4,Eintracht Frankfurt,1993-94
Mar 19 1994,MSV Duisburg,0-1,Hamburger SV,1993-94
Mar 19 1994,SC Freiburg,0-0,1. FC Nürnberg,1993-94
Mar 19 1994,VfB Leipzig (-2004),2-3,1. FC Köln,1993-94
Mar 19 1994,Bayer 04 Leverkusen,3-2,1. FC Kaiserslautern,1993-94
Mar 19 1994,FC Schalke 04,2-0,Karlsruher SC,1993-94
Mar 19 1994,VfB Stuttgart,3-0,Bor. Mönchengladbach,1993-94
Mar 19 1994,SG Wattenscheid 09,2-2,Werder Bremen,1993-94
Mar 26 1994,Werder Bremen,0-1,FC Schalke 04,1993-94
Mar 26 1994,Eintracht Frankfurt,0-0,VfB Stuttgart,1993-94
Mar 26 1994,1. FC Köln,1-0,MSV Duisburg,1993-94
Mar 26 1994,Hamburger SV,1-2,Bayern Munich,1993-94
Mar 26 1994,1. FC Kaiserslautern,0-0,Dynamo Dresden,1993-94
Mar 26 1994,Karlsruher SC,2-1,SC Freiburg,1993-94
Mar 26 1994,Bor. Mönchengladbach,6-1,VfB Leipzig (-2004),1993-94
Mar 26 1994,1. FC Nürnberg,2-3,Bayer 04 Leverkusen,1993-94
Mar 26 1994,Borussia Dortmund,2-0,SG Wattenscheid 09,1993-94
Apr 2 1994,Bayern Munich,1-0,1. FC Köln,1993-94
Apr 2 1994,Borussia Dortmund,3-2,Werder Bremen,1993-94
Apr 2 1994,Dynamo Dresden,1-1,1. FC Nürnberg,1993-94
Apr 2 1994,MSV Duisburg,2-0,Bor. Mönchengladbach,1993-94
Apr 2 1994,SC Freiburg,2-3,FC Schalke 04,1993-94
Apr 2 1994,VfB Leipzig (-2004),1-0,Eintracht Frankfurt,1993-94
Apr 2 1994,Bayer 04 Leverkusen,3-1,Karlsruher SC,1993-94
Apr 2 1994,VfB Stuttgart,1-1,1. FC Kaiserslautern,1993-94
Apr 2 1994,SG Wattenscheid 09,3-1,Hamburger SV,1993-94
Apr 3 1994,Bayern Munich,5-0,1. FC Nürnberg,1993-94
Apr 6 1994,Werder Bremen,3-2,SC Freiburg,1993-94
Apr 6 1994,FC Schalke 04,1-1,Bayer 04 Leverkusen,1993-94
Apr 6 1994,1. FC Nürnberg,1-0,VfB Stuttgart,1993-94
Apr 6 1994,Bor. Mönchengladbach,2-0,Bayern Munich,1993-94
Apr 6 1994,Eintracht Frankfurt,1-2,MSV Duisburg,1993-94
Apr 6 1994,1. FC Kaiserslautern,1-0,VfB Leipzig (-2004),1993-94
Apr 6 1994,Hamburger SV,0-0,Borussia Dortmund,1993-94
Apr 6 1994,1. FC Köln,3-2,SG Wattenscheid 09,1993-94
Apr 6 1994,Karlsruher SC,1-0,Dynamo Dresden,1993-94
Apr 9 1994,Hamburger SV,1-1,Werder Bremen,1993-94
Apr 9 1994,SG Wattenscheid 09,3-1,Bor. Mönchengladbach,1993-94
Apr 9 1994,VfB Stuttgart,3-0,Karlsruher SC,1993-94
Apr 9 1994,Bayer 04 Leverkusen,2-1,SC Freiburg,1993-94
Apr 9 1994,VfB Leipzig (-2004),0-2,1. FC Nürnberg,1993-94
Apr 9 1994,MSV Duisburg,1-7,1. FC Kaiserslautern,1993-94
Apr 9 1994,Dynamo Dresden,1-0,FC Schalke 04,1993-94
Apr 9 1994,Borussia Dortmund,2-1,1. FC Köln,1993-94
Apr 9 1994,Bayern Munich,2-1,Eintracht Frankfurt,1993-94
Apr 16 1994,1. FC Köln,3-0,Hamburger SV,1993-94
Apr 16 1994,SC Freiburg,0-1,Dynamo Dresden,1993-94
Apr 16 1994,1. FC Kaiserslautern,4-0,Bayern Munich,1993-94
Apr 16 1994,Eintracht Frankfurt,5-1,SG Wattenscheid 09,1993-94
Apr 16 1994,Karlsruher SC,3-2,VfB Leipzig (-2004),1993-94
Apr 16 1994,Bor. Mönchengladbach,0-0,Borussia Dortmund,1993-94
Apr 16 1994,Werder Bremen,2-1,Bayer 04 Leverkusen,1993-94
Apr 16 1994,1. FC Nürnberg,0-0,MSV Duisburg,1993-94
Apr 16 1994,FC Schalke 04,0-1,VfB Stuttgart,1993-94
Apr 23 1994,Borussia Dortmund,2-0,Eintracht Frankfurt,1993-94
